type,seed,n,m,mu,run,generations,max_generations,diversity,fitness,runtime
opt,6617,40,1,10,8,311,16000,1,32,54
opt,4205,40,1,10,2,401,16000,1,30,70
opt,20081,40,1,10,20,409,16000,1,31,71
opt,31133,40,1,10,26,447,16000,1,32,78
opt,5493,40,1,10,6,459,16000,1,33,79
opt,23445,40,1,10,22,470,16000,1,32,81
opt,8061,40,1,10,10,491,16000,1,33,85
opt,27129,40,1,10,24,506,16000,1,31,89
opt,37739,40,1,10,29,635,16000,1,32,110
opt,4689,40,1,10,4,684,16000,1,32,118
opt,14313,40,1,10,16,682,16000,1,30,118
opt,29091,40,1,10,25,638,16000,1,32,111
opt,11909,40,1,10,14,709,16000,1,31,123
opt,17037,40,1,10,18,759,16000,1,32,131
opt,35457,40,1,10,28,786,16000,1,32,137
opt,33255,40,1,10,27,803,16000,1,33,140
opt,9825,40,1,10,12,892,16000,1,34,155
opt,4041,40,1,10,0,861,16000,1,30,191
unopt,20081,40,1,10,20,481,16000,1,31,108
unopt,6617,40,1,10,8,637,16000,1,31,143
unopt,31133,40,1,10,26,535,16000,1,32,120
unopt,14313,40,1,10,16,381,16000,1,30,86
unopt,23445,40,1,10,22,525,16000,1,31,118
unopt,29091,40,1,10,25,362,16000,1,31,81
unopt,8061,40,1,10,10,543,16000,1,33,122
unopt,37739,40,1,10,29,476,16000,1,32,107
unopt,5493,40,1,10,6,643,16000,1,33,144
unopt,17037,40,1,10,18,486,16000,1,31,109
unopt,4205,40,1,10,2,825,16000,1,32,186
unopt,27129,40,1,10,24,718,16000,1,30,162
unopt,4689,40,1,10,4,666,16000,1,31,150
unopt,35457,40,1,10,28,518,16000,1,32,116
unopt,11909,40,1,10,14,691,16000,1,33,155
opt,21723,40,1,10,21,592,16000,1,32,101
opt,25247,40,1,10,23,484,16000,1,32,83
opt,7299,40,1,10,9,671,16000,1,34,114
unopt,9825,40,1,10,12,613,16000,1,31,137
opt,18519,40,1,10,19,394,16000,1,31,67
opt,8903,40,1,10,11,611,16000,1,31,104
unopt,33255,40,1,10,27,816,16000,1,33,183
unopt,4041,40,1,10,0,672,16000,1,32,157
opt,15635,40,1,10,17,889,16000,1,31,153
opt,13071,40,1,10,15,350,16000,1,31,60
opt,6015,40,1,10,7,667,16000,1,32,113
opt,10827,40,1,10,13,359,16000,1,30,61
opt,4407,40,1,10,3,751,16000,1,32,128
opt,5051,40,1,10,5,677,16000,1,32,116
unopt,21723,40,1,10,21,472,16000,1,31,106
unopt,7299,40,1,10,9,464,16000,1,32,104
unopt,25247,40,1,10,23,574,16000,1,31,129
opt,4083,40,1,10,1,299,16000,1,30,64
unopt,15635,40,1,10,17,398,16000,1,33,90
unopt,13071,40,1,10,15,390,16000,1,30,88
unopt,8903,40,1,10,11,691,16000,1,32,155
unopt,4407,40,1,10,3,370,16000,1,33,83
unopt,6015,40,1,10,7,459,16000,1,32,103
unopt,18519,40,1,10,19,908,16000,1,32,204
unopt,10827,40,1,10,13,579,16000,1,33,130
unopt,5051,40,1,10,5,876,16000,1,30,196
unopt,4083,40,1,10,1,677,16000,1,33,153
opt,25205,40,1,25,2,7132,40000,1,33,7240
opt,25407,40,1,25,3,8840,40000,1,32,8874
opt,52133,40,1,25,26,9310,40000,1,30,9316
opt,54255,40,1,25,27,9203,40000,1,30,9439
opt,35313,40,1,25,16,10036,40000,1,32,9947
opt,46247,40,1,25,23,10036,40000,1,29,10237
opt,50091,40,1,25,25,10554,40000,1,32,10720
opt,25041,40,1,25,0,10604,40000,1,31,10892
opt,36635,40,1,25,17,10948,40000,1,31,10987
opt,58739,40,1,25,29,11060,40000,1,30,11014
opt,28299,40,1,25,9,11042,40000,1,31,11251
opt,44445,40,1,25,22,11500,40000,1,31,11392
opt,42723,40,1,25,21,11796,40000,1,33,11624
opt,48129,40,1,25,24,11530,40000,1,31,11735
opt,29061,40,1,25,10,11714,40000,1,30,11850
opt,25083,40,1,25,1,11842,40000,1,31,11889
opt,39519,40,1,25,19,12152,40000,1,31,12116
opt,41081,40,1,25,20,12485,40000,1,32,12316
opt,27617,40,1,25,8,12155,40000,1,33,12462
opt,31827,40,1,25,13,12613,40000,1,31,12914
opt,29903,40,1,25,11,12681,40000,1,30,12940
opt,25689,40,1,25,4,13251,40000,1,31,13237
opt,38037,40,1,25,18,13407,40000,1,32,13329
opt,32909,40,1,25,14,13725,40000,1,31,13591
opt,27015,40,1,25,7,13702,40000,1,32,14070
opt,26051,40,1,25,5,14065,40000,1,31,14163
opt,30825,40,1,25,12,14596,40000,1,30,14771
opt,34071,40,1,25,15,15279,40000,1,31,15027
opt,26493,40,1,25,6,15504,40000,1,31,15592
opt,56457,40,1,25,28,18132,40000,1,32,18379
unopt,52133,40,1,25,26,10426,40000,1,30,13586
unopt,36635,40,1,25,17,9261,40000,1,31,11925
unopt,25041,40,1,25,0,9549,40000,1,31,12446
unopt,25205,40,1,25,2,12548,40000,1,32,16340
unopt,35313,40,1,25,16,10811,40000,1,32,13918
unopt,46247,40,1,25,23,10628,40000,1,32,13691
unopt,38037,40,1,25,18,9542,40000,1,31,12211
unopt,54255,40,1,25,27,12424,40000,1,31,16129
unopt,34071,40,1,25,15,8364,40000,1,31,10684
unopt,41081,40,1,25,20,10504,40000,1,31,13432
unopt,25407,40,1,25,3,13162,40000,1,31,17072
unopt,32909,40,1,25,14,9687,40000,1,31,12377
unopt,26051,40,1,25,5,8780,40000,1,32,12505
unopt,39519,40,1,25,19,11456,40000,1,32,14593
unopt,29903,40,1,25,11,10770,40000,1,32,13885
unopt,25083,40,1,25,1,12046,40000,1,32,15312
unopt,58739,40,1,25,29,12868,40000,1,28,16580
unopt,48129,40,1,25,24,12995,40000,1,30,16482
unopt,31827,40,1,25,13,11948,40000,1,32,15316
unopt,29061,40,1,25,10,13356,40000,1,31,16915
unopt,42723,40,1,25,21,13970,40000,1,33,17657
unopt,56457,40,1,25,28,8932,40000,1,31,11262
unopt,26493,40,1,25,6,11605,40000,1,30,14547
unopt,27617,40,1,25,8,14502,40000,1,32,18424
unopt,44445,40,1,25,22,15618,40000,1,32,19624
unopt,28299,40,1,25,9,16889,40000,1,30,21362
unopt,27015,40,1,25,7,15680,40000,1,32,19505
unopt,25689,40,1,25,4,16293,40000,1,31,20675
unopt,50091,40,1,25,25,22700,40000,1,31,27625
unopt,30825,40,1,25,12,20385,40000,1,31,24845
