seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha
26,5,1,2,0,6,50,1.0,1,0,Mu1-const,1RAI,0.6
51,10,1,2,0,11,200,1.0,2,1,Mu1-const,1RAI,0.6
126,25,1,2,0,24,1250,1.0,14,9,Mu1-const,1RAI,0.6
251,50,1,2,0,72,5000,1.0,37,24,Mu1-const,1RAI,0.6
2674,25,3,2,10,92,1250,1.0,10,0,Mu1-const,1RAI,0.6
33,5,1,2,1,6,50,1.0,0,0,Mu1-const,1RAI,0.6
63,10,1,2,1,18,200,1.0,1,0,Mu1-const,1RAI,0.6
153,25,1,2,1,44,1250,1.0,16,9,Mu1-const,1RAI,0.6
1011,10,1,10,0,1000,1000,0.956177,2,0,Mu1-const,1RAI,0.6
303,50,1,2,1,95,5000,1.0,40,29,Mu1-const,1RAI,0.6
3203,25,3,2,11,62,1250,1.0,8,0,Mu1-const,1RAI,0.6
50,5,1,2,2,6,50,1.0,0,0,Mu1-const,1RAI,0.6
95,10,1,2,2,10,200,1.0,2,0,Mu1-const,1RAI,0.6
230,25,1,2,2,46,1250,1.0,14,4,Mu1-const,1RAI,0.6
455,50,1,2,2,104,5000,1.0,40,26,Mu1-const,1RAI,0.6
3782,25,3,2,12,42,1250,1.0,7,0,Mu1-const,1RAI,0.6
77,5,1,2,3,2,50,1.0,0,0,Mu1-const,1RAI,0.6
147,10,1,2,3,14,200,1.0,1,0,Mu1-const,1RAI,0.6
357,25,1,2,3,55,1250,1.0,14,7,Mu1-const,1RAI,0.6
707,50,1,2,3,78,5000,1.0,36,30,Mu1-const,1RAI,0.6
1023,10,1,10,1,1000,1000,0.953151,1,0,Mu1-const,1RAI,0.6
4411,25,3,2,13,48,1250,1.0,8,0,Mu1-const,1RAI,0.6
114,5,1,2,4,2,50,1.0,0,0,Mu1-const,1RAI,0.6
219,10,1,2,4,10,200,1.0,1,0,Mu1-const,1RAI,0.6
534,25,1,2,4,29,1250,1.0,16,5,Mu1-const,1RAI,0.6
1059,50,1,2,4,94,5000,1.0,37,28,Mu1-const,1RAI,0.6
5090,25,3,2,14,44,1250,1.0,5,0,Mu1-const,1RAI,0.6
161,5,1,2,5,4,50,1.0,0,0,Mu1-const,1RAI,0.6
311,10,1,2,5,4,200,1.0,0,0,Mu1-const,1RAI,0.6
761,25,1,2,5,28,1250,1.0,16,8,Mu1-const,1RAI,0.6
1511,50,1,2,5,88,5000,1.0,39,27,Mu1-const,1RAI,0.6
5819,25,3,2,15,47,1250,1.0,11,0,Mu1-const,1RAI,0.6
218,5,1,2,6,3,50,1.0,0,0,Mu1-const,1RAI,0.6
423,10,1,2,6,5,200,1.0,1,0,Mu1-const,1RAI,0.6
1038,25,1,2,6,32,1250,1.0,18,8,Mu1-const,1RAI,0.6
1055,10,1,10,2,1000,1000,0.947622,2,0,Mu1-const,1RAI,0.6
2063,50,1,2,6,181,5000,1.0,36,23,Mu1-const,1RAI,0.6
6598,25,3,2,16,45,1250,1.0,6,0,Mu1-const,1RAI,0.6
285,5,1,2,7,3,50,1.0,0,0,Mu1-const,1RAI,0.6
555,10,1,2,7,8,200,1.0,1,0,Mu1-const,1RAI,0.6
1365,25,1,2,7,29,1250,1.0,12,7,Mu1-const,1RAI,0.6
2715,50,1,2,7,142,5000,1.0,38,26,Mu1-const,1RAI,0.6
7427,25,3,2,17,45,1250,1.0,6,0,Mu1-const,1RAI,0.6
362,5,1,2,8,3,50,1.0,2,0,Mu1-const,1RAI,0.6
707,10,1,2,8,10,200,1.0,2,0,Mu1-const,1RAI,0.6
1742,25,1,2,8,29,1250,1.0,15,7,Mu1-const,1RAI,0.6
3467,50,1,2,8,92,5000,1.0,36,27,Mu1-const,1RAI,0.6
8306,25,3,2,18,76,1250,1.0,8,0,Mu1-const,1RAI,0.6
449,5,1,2,9,3,50,1.0,1,0,Mu1-const,1RAI,0.6
1107,10,1,10,3,1000,1000,0.962963,2,0,Mu1-const,1RAI,0.6
879,10,1,2,9,13,200,1.0,1,1,Mu1-const,1RAI,0.6
2169,25,1,2,9,38,1250,1.0,15,6,Mu1-const,1RAI,0.6
4319,50,1,2,9,111,5000,1.0,36,23,Mu1-const,1RAI,0.6
9235,25,3,2,19,61,1250,1.0,13,0,Mu1-const,1RAI,0.6
546,5,1,2,10,4,50,1.0,0,0,Mu1-const,1RAI,0.6
1071,10,1,2,10,13,200,1.0,1,0,Mu1-const,1RAI,0.6
2646,25,1,2,10,32,1250,1.0,17,8,Mu1-const,1RAI,0.6
5271,50,1,2,10,60,5000,1.0,33,24,Mu1-const,1RAI,0.6
10214,25,3,2,20,42,1250,1.0,5,0,Mu1-const,1RAI,0.6
653,5,1,2,11,6,50,1.0,1,0,Mu1-const,1RAI,0.6
1283,10,1,2,11,5,200,1.0,1,0,Mu1-const,1RAI,0.6
3173,25,1,2,11,61,1250,1.0,14,7,Mu1-const,1RAI,0.6
6323,50,1,2,11,101,5000,1.0,38,27,Mu1-const,1RAI,0.6
11243,25,3,2,21,57,1250,1.0,9,0,Mu1-const,1RAI,0.6
770,5,1,2,12,10,50,1.0,0,0,Mu1-const,1RAI,0.6
1515,10,1,2,12,9,200,1.0,2,1,Mu1-const,1RAI,0.6
3750,25,1,2,12,26,1250,1.0,12,6,Mu1-const,1RAI,0.6
7475,50,1,2,12,99,5000,1.0,38,24,Mu1-const,1RAI,0.6
12322,25,3,2,22,34,1250,1.0,12,0,Mu1-const,1RAI,0.6
897,5,1,2,13,4,50,1.0,0,0,Mu1-const,1RAI,0.6
1767,10,1,2,13,7,200,1.0,3,0,Mu1-const,1RAI,0.6
4377,25,1,2,13,51,1250,1.0,17,8,Mu1-const,1RAI,0.6
8727,50,1,2,13,59,5000,1.0,36,24,Mu1-const,1RAI,0.6
13451,25,3,2,23,60,1250,1.0,7,0,Mu1-const,1RAI,0.6
1034,5,1,2,14,3,50,1.0,1,0,Mu1-const,1RAI,0.6
2039,10,1,2,14,14,200,1.0,1,0,Mu1-const,1RAI,0.6
5054,25,1,2,14,36,1250,1.0,17,11,Mu1-const,1RAI,0.6
10079,50,1,2,14,94,5000,1.0,39,27,Mu1-const,1RAI,0.6
14630,25,3,2,24,105,1250,1.0,10,0,Mu1-const,1RAI,0.6
1181,5,1,2,15,2,50,1.0,0,0,Mu1-const,1RAI,0.6
1179,10,1,10,4,1000,1000,0.959428,2,1,Mu1-const,1RAI,0.6
2331,10,1,2,15,13,200,1.0,1,0,Mu1-const,1RAI,0.6
5781,25,1,2,15,25,1250,1.0,11,8,Mu1-const,1RAI,0.6
11531,50,1,2,15,85,5000,1.0,40,26,Mu1-const,1RAI,0.6
15859,25,3,2,25,64,1250,1.0,10,0,Mu1-const,1RAI,0.6
1338,5,1,2,16,2,50,1.0,0,0,Mu1-const,1RAI,0.6
2643,10,1,2,16,10,200,1.0,4,2,Mu1-const,1RAI,0.6
6558,25,1,2,16,49,1250,1.0,14,6,Mu1-const,1RAI,0.6
13083,50,1,2,16,102,5000,1.0,36,25,Mu1-const,1RAI,0.6
17138,25,3,2,26,68,1250,1.0,7,0,Mu1-const,1RAI,0.6
1505,5,1,2,17,5,50,1.0,0,0,Mu1-const,1RAI,0.6
2975,10,1,2,17,14,200,1.0,1,0,Mu1-const,1RAI,0.6
7385,25,1,2,17,20,1250,1.0,10,7,Mu1-const,1RAI,0.6
14735,50,1,2,17,78,5000,1.0,37,27,Mu1-const,1RAI,0.6
18467,25,3,2,27,68,1250,1.0,8,0,Mu1-const,1RAI,0.6
