seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation
514,5,3,10,0,250,250,0.947295,0.0,0,Mu1-unconst,1RAI
523,5,3,10,1,91,250,1.0,0.0,0,Mu1-unconst,1RAI
1011,10,1,10,0,1000,1000,0.953151,3.0,0,Mu1-unconst,1RAI
5099,10,3,10,20,1000,1000,0.983437,0.0,0,Mu1-unconst,1RAI
12566,25,1,10,20,467,6250,1.0,16.0,8,Mu1-unconst,1RAI
542,5,3,10,2,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
1023,10,1,10,1,1000,1000,0.962963,0.0,0,Mu1-unconst,1RAI
5110,25,5,10,10,529,6250,1.0,2.0,0,Mu1-unconst,1RAI
571,5,3,10,3,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
5513,10,3,10,21,730,1000,1.0,0.0,0,Mu1-unconst,1RAI
13593,25,1,10,21,413,6250,1.0,13.0,4,Mu1-unconst,1RAI
610,5,3,10,4,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
1055,10,1,10,2,1000,1000,0.956177,3.0,0,Mu1-unconst,1RAI
5947,10,3,10,22,395,1000,1.0,0.0,0,Mu1-unconst,1RAI
10099,50,3,10,10,503,25000,1.0,28.0,7,Mu1-unconst,1RAI
659,5,3,10,5,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
5641,25,5,10,11,543,6250,1.0,3.0,0,Mu1-unconst,1RAI
1107,10,1,10,3,1000,1000,0.959428,2.0,0,Mu1-unconst,1RAI
718,5,3,10,6,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
14670,25,1,10,22,618,6250,1.0,17.0,9,Mu1-unconst,1RAI
5150,50,10,10,0,446,25000,1.0,9.0,0,Mu1-unconst,1RAI
6401,10,3,10,23,825,1000,1.0,0.0,0,Mu1-unconst,1RAI
787,5,3,10,7,250,250,0.947295,0.0,0,Mu1-unconst,1RAI
6222,25,5,10,12,329,6250,1.0,4.0,0,Mu1-unconst,1RAI
1179,10,1,10,4,1000,1000,0.956177,2.0,1,Mu1-unconst,1RAI
866,5,3,10,8,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
15797,25,1,10,23,313,6250,1.0,18.0,9,Mu1-unconst,1RAI
955,5,3,10,9,250,250,0.962732,0.0,0,Mu1-unconst,1RAI
