type,seed,n,m,mu,run,generations,max_generations,diversity,fitness,runtime
optimized,20359,30,1,10,24,381,9000,1,21,274
optimized,7375,30,1,10,12,530,9000,1,21,373
optimized,4123,30,1,10,6,534,9000,1,21,376
optimized,5493,40,1,10,6,459,16000,1,33,524
optimized,27129,40,1,10,24,506,16000,1,31,572
optimized,12787,30,1,10,18,895,9000,1,22,634
optimized,3031,30,1,10,0,992,9000,1,21,698
optimized,9825,40,1,10,12,892,16000,1,34,736
unoptimized,20359,30,1,10,24,504,9000,1,21,479
optimized,17037,40,1,10,18,759,16000,1,32,865
optimized,4041,40,1,10,0,861,16000,1,30,977
unoptimized,7375,30,1,10,12,663,9000,1,22,628
optimized,21831,30,1,10,25,356,9000,1,21,255
unoptimized,4123,30,1,10,6,694,9000,1,20,657
unoptimized,27129,40,1,10,24,338,16000,1,31,528
unoptimized,12787,30,1,10,18,682,9000,1,23,647
optimized,4515,30,1,10,7,423,9000,1,21,299
unoptimized,9825,40,1,10,12,482,16000,1,31,641
optimized,8127,30,1,10,13,600,9000,1,20,425
unoptimized,3031,30,1,10,0,785,9000,1,22,745
unoptimized,17037,40,1,10,18,402,16000,1,31,642
unoptimized,5493,40,1,10,6,738,16000,1,31,1166
unoptimized,4515,30,1,10,7,408,9000,1,22,388
optimized,13899,30,1,10,19,654,9000,1,21,463
optimized,10827,40,1,10,13,359,16000,1,30,398
unoptimized,21831,30,1,10,25,903,9000,1,20,786
unoptimized,4041,40,1,10,0,536,16000,1,33,842
optimized,29091,40,1,10,25,638,16000,1,32,732
unoptimized,8127,30,1,10,13,456,9000,1,23,432
optimized,18519,40,1,10,19,394,16000,1,31,467
unoptimized,13899,30,1,10,19,257,9000,1,22,244
optimized,3063,30,1,10,1,999,9000,1,20,709
optimized,4083,40,1,10,1,299,16000,1,30,343
optimized,4967,30,1,10,8,686,9000,1,21,488
optimized,8939,30,1,10,14,522,9000,1,23,370
optimized,15071,30,1,10,20,398,9000,1,23,282
optimized,23363,30,1,10,26,799,9000,1,22,562
unoptimized,10827,40,1,10,13,423,16000,1,30,588
optimized,6015,40,1,10,7,667,16000,1,32,766
unoptimized,3063,30,1,10,1,516,9000,1,20,492
unoptimized,15071,30,1,10,20,436,9000,1,23,414
unoptimized,4967,30,1,10,8,524,9000,1,23,498
unoptimized,8939,30,1,10,14,686,9000,1,22,649
unoptimized,29091,40,1,10,25,688,16000,1,32,1106
unoptimized,23363,30,1,10,26,664,9000,1,21,627
optimized,5479,30,1,10,9,446,9000,1,21,316
optimized,3155,30,1,10,2,645,9000,1,22,443
optimized,11909,40,1,10,14,709,16000,1,31,740
optimized,9811,30,1,10,15,434,9000,1,22,294
optimized,16303,30,1,10,21,705,9000,1,23,499
optimized,24955,30,1,10,27,343,9000,1,20,240
unoptimized,4083,40,1,10,1,668,16000,1,32,1089
unoptimized,18519,40,1,10,19,854,16000,1,32,1374
unoptimized,5479,30,1,10,9,406,9000,1,22,385
optimized,31133,40,1,10,26,447,16000,1,32,511
unoptimized,9811,30,1,10,15,375,9000,1,20,308
unoptimized,6015,40,1,10,7,758,16000,1,32,1198
unoptimized,24955,30,1,10,27,517,9000,1,18,487
optimized,4205,40,1,10,2,401,16000,1,30,461
unoptimized,3155,30,1,10,2,741,9000,1,22,701
unoptimized,16303,30,1,10,21,654,9000,1,20,620
optimized,20081,40,1,10,20,409,16000,1,31,469
unoptimized,31133,40,1,10,26,245,16000,1,31,386
optimized,6051,30,1,10,10,681,9000,1,20,482
optimized,10743,30,1,10,16,763,9000,1,21,464
optimized,6617,40,1,10,8,311,16000,1,32,357
unoptimized,11909,40,1,10,14,577,16000,1,33,909
optimized,3307,30,1,10,3,396,9000,1,22,280
optimized,17595,30,1,10,22,556,9000,1,22,393
optimized,26607,30,1,10,28,822,9000,1,21,578
unoptimized,4205,40,1,10,2,385,16000,1,31,623
optimized,13071,40,1,10,15,350,16000,1,31,409
unoptimized,3307,30,1,10,3,399,9000,1,21,380
unoptimized,6051,30,1,10,10,657,9000,1,22,624
unoptimized,17595,30,1,10,22,370,9000,1,21,351
unoptimized,20081,40,1,10,20,487,16000,1,29,780
unoptimized,10743,30,1,10,16,824,9000,1,23,696
unoptimized,26607,30,1,10,28,463,9000,1,20,438
optimized,3519,30,1,10,4,411,9000,1,23,292
optimized,33255,40,1,10,27,803,16000,1,33,917
unoptimized,6617,40,1,10,8,500,16000,1,32,786
optimized,18947,30,1,10,23,429,9000,1,22,304
optimized,6683,30,1,10,11,551,9000,1,22,391
unoptimized,13071,40,1,10,15,325,16000,1,30,512
optimized,11735,30,1,10,17,497,9000,1,22,304
optimized,28319,30,1,10,29,614,9000,1,20,432
optimized,4407,40,1,10,3,751,16000,1,32,861
optimized,21723,40,1,10,21,592,16000,1,32,687
unoptimized,18947,30,1,10,23,486,9000,1,22,461
unoptimized,11735,30,1,10,17,411,9000,1,21,397
unoptimized,6683,30,1,10,11,560,9000,1,22,531
optimized,7299,40,1,10,9,671,16000,1,34,664
unoptimized,3519,30,1,10,4,920,9000,1,23,775
unoptimized,33255,40,1,10,27,587,16000,1,32,924
optimized,14313,40,1,10,16,682,16000,1,30,784
unoptimized,28319,30,1,10,29,728,9000,1,22,684
unoptimized,21723,40,1,10,21,571,16000,1,33,755
unoptimized,7299,40,1,10,9,427,16000,1,34,625
optimized,3791,30,1,10,5,1267,9000,1,22,652
unoptimized,4407,40,1,10,3,730,16000,1,32,1147
optimized,23445,40,1,10,22,470,16000,1,32,348
optimized,8061,40,1,10,10,491,16000,1,33,407
optimized,35457,40,1,10,28,786,16000,1,32,891
unoptimized,3791,30,1,10,5,627,9000,1,21,408
unoptimized,14313,40,1,10,16,568,16000,1,32,888
unoptimized,23445,40,1,10,22,331,16000,1,34,331
optimized,25247,40,1,10,23,484,16000,1,32,378
optimized,4689,40,1,10,4,684,16000,1,32,774
unoptimized,8061,40,1,10,10,654,16000,1,31,714
optimized,15635,40,1,10,17,889,16000,1,31,915
unoptimized,35457,40,1,10,28,693,16000,1,32,1075
optimized,8903,40,1,10,11,611,16000,1,31,509
unoptimized,25247,40,1,10,23,621,16000,1,32,676
unoptimized,8903,40,1,10,11,335,16000,1,33,342
unoptimized,15635,40,1,10,17,632,16000,1,33,675
unoptimized,4689,40,1,10,4,715,16000,1,30,1110
optimized,37739,40,1,10,29,635,16000,1,32,593
optimized,5051,40,1,10,5,677,16000,1,32,483
unoptimized,37739,40,1,10,29,600,16000,1,30,567
unoptimized,5051,40,1,10,5,596,16000,1,30,533
optimized,25041,40,1,25,0,10604,40000,1,31,48767
optimized,48129,40,1,25,24,11530,40000,1,31,51420
optimized,38037,40,1,25,18,13407,40000,1,32,60313
optimized,28537,30,1,25,18,22500,22500,0.996018,20,62567
optimized,19873,30,1,25,6,22500,22500,0.994733,22,63238
optimized,23125,30,1,25,12,22500,22500,0.994733,21,63585
optimized,18781,30,1,25,0,22500,22500,0.996018,21,63926
optimized,36109,30,1,25,24,22500,22500,0.993704,22,64430
optimized,30825,40,1,25,12,14596,40000,1,30,64855
optimized,26493,40,1,25,6,15504,40000,1,31,68602
unoptimized,25041,40,1,25,0,10486,40000,1,28,63275
unoptimized,30825,40,1,25,12,11210,40000,1,31,67183
unoptimized,38037,40,1,25,18,11988,40000,1,30,72449
unoptimized,48129,40,1,25,24,13598,40000,1,30,81821
unoptimized,28537,30,1,25,18,22500,22500,0.994027,21,82287
unoptimized,23125,30,1,25,12,22500,22500,0.995548,22,83053
unoptimized,18781,30,1,25,0,22500,22500,0.995548,19,82722
unoptimized,19873,30,1,25,6,22500,22500,0.995123,21,83584
unoptimized,36109,30,1,25,24,22500,22500,0.995548,22,82838
unoptimized,26493,40,1,25,6,14653,40000,1,29,87960
optimized,25083,40,1,25,1,11842,40000,1,31,51097
optimized,50091,40,1,25,25,10554,40000,1,32,44708
optimized,39519,40,1,25,19,12152,40000,1,31,52392
optimized,31827,40,1,25,13,12613,40000,1,31,53899
optimized,29649,30,1,25,19,22500,22500,0.998009,20,60772
optimized,23877,30,1,25,13,22500,22500,0.996018,19,60516
optimized,18813,30,1,25,1,22500,22500,0.996018,20,60946
optimized,20265,30,1,25,7,22500,22500,0.995548,20,61320
optimized,37581,30,1,25,25,22500,22500,0.995548,20,61147
optimized,27015,40,1,25,7,13702,40000,1,32,58891
