seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
26,5,1,2,0,6,50,1,0,0,0.2,Mu1-const,NSWAP
33,5,1,2,1,5,50,1,0,0,0.2,Mu1-const,NSWAP
50,5,1,2,2,6,50,1,0,0,0.2,Mu1-const,NSWAP
77,5,1,2,3,3,50,1,0,0,0.2,Mu1-const,NSWAP
114,5,1,2,4,5,50,1,0,0,0.2,Mu1-const,NSWAP
161,5,1,2,5,7,50,1,0,0,0.2,Mu1-const,NSWAP
218,5,1,2,6,3,50,1,0,0,0.2,Mu1-const,NSWAP
285,5,1,2,7,2,50,1,0,0,0.2,Mu1-const,NSWAP
362,5,1,2,8,50,50,0.75,0,0,0.2,Mu1-const,NSWAP
449,5,1,2,9,5,50,1,0,0,0.2,Mu1-const,NSWAP
546,5,1,2,10,4,50,1,0,0,0.2,Mu1-const,NSWAP
653,5,1,2,11,2,50,1,0,0,0.2,Mu1-const,NSWAP
770,5,1,2,12,2,50,1,0,0,0.2,Mu1-const,NSWAP
897,5,1,2,13,9,50,1,0,0,0.2,Mu1-const,NSWAP
1034,5,1,2,14,22,50,1,0,0,0.2,Mu1-const,NSWAP
1181,5,1,2,15,14,50,1,0,0,0.2,Mu1-const,NSWAP
1338,5,1,2,16,3,50,1,0,0,0.2,Mu1-const,NSWAP
1505,5,1,2,17,2,50,1,0,0,0.2,Mu1-const,NSWAP
1682,5,1,2,18,2,50,1,0,0,0.2,Mu1-const,NSWAP
1869,5,1,2,19,8,50,1,0,0,0.2,Mu1-const,NSWAP
2066,5,1,2,20,50,50,0.75,0,0,0.2,Mu1-const,NSWAP
2273,5,1,2,21,2,50,1,0,0,0.2,Mu1-const,NSWAP
2490,5,1,2,22,8,50,1,0,0,0.2,Mu1-const,NSWAP
2717,5,1,2,23,7,50,1,0,0,0.2,Mu1-const,NSWAP
2954,5,1,2,24,2,50,1,0,0,0.2,Mu1-const,NSWAP
3201,5,1,2,25,5,50,1,0,0,0.2,Mu1-const,NSWAP
3458,5,1,2,26,2,50,1,0,0,0.2,Mu1-const,NSWAP
3725,5,1,2,27,3,50,1,0,0,0.2,Mu1-const,NSWAP
4002,5,1,2,28,50,50,0.75,0,0,0.2,Mu1-const,NSWAP
4289,5,1,2,29,3,50,1,0,0,0.2,Mu1-const,NSWAP
51,10,1,2,0,200,200,0.666667,-1,-1,0.2,Mu1-const,NSWAP
63,10,1,2,1,11,200,1,0,0,0.2,Mu1-const,NSWAP
95,10,1,2,2,8,200,1,0,0,0.2,Mu1-const,NSWAP
147,10,1,2,3,17,200,1,0,0,0.2,Mu1-const,NSWAP
219,10,1,2,4,13,200,1,0,0,0.2,Mu1-const,NSWAP
311,10,1,2,5,200,200,0.777778,0,0,0.2,Mu1-const,NSWAP
423,10,1,2,6,77,200,1,0,0,0.2,Mu1-const,NSWAP
555,10,1,2,7,8,200,1,0,0,0.2,Mu1-const,NSWAP
707,10,1,2,8,8,200,1,0,0,0.2,Mu1-const,NSWAP
879,10,1,2,9,6,200,1,-1,-1,0.2,Mu1-const,NSWAP
1071,10,1,2,10,10,200,1,0,0,0.2,Mu1-const,NSWAP
1283,10,1,2,11,200,200,0.555556,0,0,0.2,Mu1-const,NSWAP
1515,10,1,2,12,33,200,1,-1,-1,0.2,Mu1-const,NSWAP
1767,10,1,2,13,200,200,0.888889,0,0,0.2,Mu1-const,NSWAP
2039,10,1,2,14,200,200,0.777778,0,0,0.2,Mu1-const,NSWAP
2331,10,1,2,15,200,200,0.777778,0,0,0.2,Mu1-const,NSWAP
2643,10,1,2,16,6,200,1,-2,-2,0.2,Mu1-const,NSWAP
2975,10,1,2,17,9,200,1,0,0,0.2,Mu1-const,NSWAP
3327,10,1,2,18,31,200,1,0,0,0.2,Mu1-const,NSWAP
3699,10,1,2,19,6,200,1,0,0,0.2,Mu1-const,NSWAP
4091,10,1,2,20,7,200,1,0,0,0.2,Mu1-const,NSWAP
4503,10,1,2,21,8,200,1,-1,-1,0.2,Mu1-const,NSWAP
4935,10,1,2,22,15,200,1,0,0,0.2,Mu1-const,NSWAP
5387,10,1,2,23,13,200,1,-1,-1,0.2,Mu1-const,NSWAP
5859,10,1,2,24,22,200,1,0,0,0.2,Mu1-const,NSWAP
6351,10,1,2,25,200,200,0.777778,0,0,0.2,Mu1-const,NSWAP
6863,10,1,2,26,33,200,1,0,0,0.2,Mu1-const,NSWAP
7395,10,1,2,27,200,200,0.777778,0,0,0.2,Mu1-const,NSWAP
7947,10,1,2,28,32,200,1,0,0,0.2,Mu1-const,NSWAP
8519,10,1,2,29,21,200,1,0,0,0.2,Mu1-const,NSWAP
1011,10,1,10,0,1000,1000,0.658937,0,0,0.2,Mu1-const,NSWAP
1023,10,1,10,1,1000,1000,0.844621,0,0,0.2,Mu1-const,NSWAP
1055,10,1,10,2,1000,1000,0.7918,0,0,0.2,Mu1-const,NSWAP
1107,10,1,10,3,1000,1000,0.595974,0,0,0.2,Mu1-const,NSWAP
1179,10,1,10,4,1000,1000,0.828666,-1,-1,0.2,Mu1-const,NSWAP
1271,10,1,10,5,1000,1000,0.879416,0,0,0.2,Mu1-const,NSWAP
1383,10,1,10,6,1000,1000,0.732922,0,0,0.2,Mu1-const,NSWAP
1515,10,1,10,7,1000,1000,0.755443,-1,-1,0.2,Mu1-const,NSWAP
1667,10,1,10,8,1000,1000,0.769298,0,0,0.2,Mu1-const,NSWAP
1839,10,1,10,9,1000,1000,0.839411,0,0,0.2,Mu1-const,NSWAP
2031,10,1,10,10,1000,1000,0.784039,-1,-1,0.2,Mu1-const,NSWAP
2243,10,1,10,11,1000,1000,0.837712,-1,-1,0.2,Mu1-const,NSWAP
2475,10,1,10,12,1000,1000,0.840268,0,0,0.2,Mu1-const,NSWAP
2727,10,1,10,13,1000,1000,0.843741,0,0,0.2,Mu1-const,NSWAP
2999,10,1,10,14,1000,1000,0.729858,0,0,0.2,Mu1-const,NSWAP
3291,10,1,10,15,1000,1000,0.845506,0,0,0.2,Mu1-const,NSWAP
3603,10,1,10,16,1000,1000,0.860434,0,0,0.2,Mu1-const,NSWAP
3935,10,1,10,17,1000,1000,0.832717,0,0,0.2,Mu1-const,NSWAP
4287,10,1,10,18,1000,1000,0.850011,-2,-2,0.2,Mu1-const,NSWAP
4659,10,1,10,19,1000,1000,0.842865,0,0,0.2,Mu1-const,NSWAP
5051,10,1,10,20,1000,1000,0.587906,0,0,0.2,Mu1-const,NSWAP
5463,10,1,10,21,1000,1000,0.831899,-1,-1,0.2,Mu1-const,NSWAP
5895,10,1,10,22,1000,1000,0.631486,0,0,0.2,Mu1-const,NSWAP
6347,10,1,10,23,1000,1000,0.860434,0,0,0.2,Mu1-const,NSWAP
6819,10,1,10,24,1000,1000,0.787238,0,0,0.2,Mu1-const,NSWAP
7311,10,1,10,25,1000,1000,0.585913,0,0,0.2,Mu1-const,NSWAP
7823,10,1,10,26,1000,1000,0.238801,0,0,0.2,Mu1-const,NSWAP
8355,10,1,10,27,1000,1000,0.654542,0,0,0.2,Mu1-const,NSWAP
8907,10,1,10,28,1000,1000,0.820075,0,0,0.2,Mu1-const,NSWAP
9479,10,1,10,29,1000,1000,0.870635,-1,-1,0.2,Mu1-const,NSWAP
126,25,1,2,0,50,1250,1,-10,-9,0.2,Mu1-const,NSWAP
153,25,1,2,1,27,1250,1,-10,-9,0.2,Mu1-const,NSWAP
230,25,1,2,2,35,1250,1,-4,-4,0.2,Mu1-const,NSWAP
357,25,1,2,3,137,1250,1,-8,-7,0.2,Mu1-const,NSWAP
534,25,1,2,4,51,1250,1,-5,-5,0.2,Mu1-const,NSWAP
761,25,1,2,5,87,1250,1,-9,-8,0.2,Mu1-const,NSWAP
1038,25,1,2,6,43,1250,1,-9,-8,0.2,Mu1-const,NSWAP
1365,25,1,2,7,33,1250,1,-8,-7,0.2,Mu1-const,NSWAP
1742,25,1,2,8,60,1250,1,-8,-7,0.2,Mu1-const,NSWAP
2169,25,1,2,9,52,1250,1,-7,-6,0.2,Mu1-const,NSWAP
2646,25,1,2,10,30,1250,1,-8,-8,0.2,Mu1-const,NSWAP
3173,25,1,2,11,54,1250,1,-8,-7,0.2,Mu1-const,NSWAP
3750,25,1,2,12,17,1250,1,-7,-6,0.2,Mu1-const,NSWAP
4377,25,1,2,13,213,1250,1,-9,-8,0.2,Mu1-const,NSWAP
5054,25,1,2,14,60,1250,1,-11,-11,0.2,Mu1-const,NSWAP
5781,25,1,2,15,55,1250,1,-8,-8,0.2,Mu1-const,NSWAP
6558,25,1,2,16,85,1250,1,-7,-6,0.2,Mu1-const,NSWAP
7385,25,1,2,17,722,1250,1,-8,-7,0.2,Mu1-const,NSWAP
8262,25,1,2,18,37,1250,1,-7,-6,0.2,Mu1-const,NSWAP
9189,25,1,2,19,130,1250,1,-7,-6,0.2,Mu1-const,NSWAP
10166,25,1,2,20,39,1250,1,-10,-9,0.2,Mu1-const,NSWAP
11193,25,1,2,21,106,1250,1,-9,-8,0.2,Mu1-const,NSWAP
12270,25,1,2,22,45,1250,1,-8,-7,0.2,Mu1-const,NSWAP
13397,25,1,2,23,1250,1250,0.916667,-6,-5,0.2,Mu1-const,NSWAP
14574,25,1,2,24,280,1250,1,-10,-9,0.2,Mu1-const,NSWAP
15801,25,1,2,25,38,1250,1,-10,-9,0.2,Mu1-const,NSWAP
17078,25,1,2,26,54,1250,1,-10,-9,0.2,Mu1-const,NSWAP
18405,25,1,2,27,157,1250,1,-8,-7,0.2,Mu1-const,NSWAP
19782,25,1,2,28,866,1250,1,-6,-5,0.2,Mu1-const,NSWAP
