seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation
501,100,1,2,0,1,20000,1,-94,-67,Mu1-unconst,XRAI_0.000000
603,100,1,2,1,70,20000,1,-94,-66,Mu1-unconst,XRAI_0.000000
905,100,1,2,2,17,20000,1,-94,-69,Mu1-unconst,XRAI_0.000000
1407,100,1,2,3,15,20000,1,-93,-70,Mu1-unconst,XRAI_0.000000
2109,100,1,2,4,18,20000,1,-93,-67,Mu1-unconst,XRAI_0.000000
3011,100,1,2,5,17,20000,1,-92,-66,Mu1-unconst,XRAI_0.000000
4113,100,1,2,6,0,20000,1,-94,-67,Mu1-unconst,XRAI_0.000000
5415,100,1,2,7,23,20000,1,-96,-69,Mu1-unconst,XRAI_0.000000
6917,100,1,2,8,1,20000,1,-93,-68,Mu1-unconst,XRAI_0.000000
8619,100,1,2,9,83,20000,1,-90,-64,Mu1-unconst,XRAI_0.000000
10521,100,1,2,10,88,20000,1,-93,-69,Mu1-unconst,XRAI_0.000000
12623,100,1,2,11,0,20000,1,-91,-68,Mu1-unconst,XRAI_0.000000
14925,100,1,2,12,0,20000,1,-93,-69,Mu1-unconst,XRAI_0.000000
17427,100,1,2,13,0,20000,1,-93,-70,Mu1-unconst,XRAI_0.000000
20129,100,1,2,14,0,20000,1,-92,-68,Mu1-unconst,XRAI_0.000000
23031,100,1,2,15,0,20000,1,-93,-68,Mu1-unconst,XRAI_0.000000
26133,100,1,2,16,0,20000,1,-94,-68,Mu1-unconst,XRAI_0.000000
29435,100,1,2,17,28,20000,1,-92,-70,Mu1-unconst,XRAI_0.000000
32937,100,1,2,18,0,20000,1,-92,-64,Mu1-unconst,XRAI_0.000000
36639,100,1,2,19,15,20000,1,-93,-72,Mu1-unconst,XRAI_0.000000
40541,100,1,2,20,86,20000,1,-93,-69,Mu1-unconst,XRAI_0.000000
44643,100,1,2,21,23,20000,1,-93,-68,Mu1-unconst,XRAI_0.000000
48945,100,1,2,22,39,20000,1,-94,-68,Mu1-unconst,XRAI_0.000000
53447,100,1,2,23,44,20000,1,-92,-67,Mu1-unconst,XRAI_0.000000
58149,100,1,2,24,0,20000,1,-92,-71,Mu1-unconst,XRAI_0.000000
63051,100,1,2,25,5,20000,1,-94,-67,Mu1-unconst,XRAI_0.000000
68153,100,1,2,26,0,20000,1,-94,-66,Mu1-unconst,XRAI_0.000000
73455,100,1,2,27,27,20000,1,-95,-70,Mu1-unconst,XRAI_0.000000
78957,100,1,2,28,37,20000,1,-91,-68,Mu1-unconst,XRAI_0.000000
84659,100,1,2,29,0,20000,1,-91,-72,Mu1-unconst,XRAI_0.000000
509,100,3,2,0,0,20000,1,-82,-40,Mu1-unconst,XRAI_0.000000
613,100,3,2,1,11,20000,1,-79,-38,Mu1-unconst,XRAI_0.000000
917,100,3,2,2,40,20000,1,-79,-36,Mu1-unconst,XRAI_0.000000
1421,100,3,2,3,10,20000,1,-81,-34,Mu1-unconst,XRAI_0.000000
2125,100,3,2,4,0,20000,1,-77,-43,Mu1-unconst,XRAI_0.000000
3029,100,3,2,5,0,20000,1,-84,-39,Mu1-unconst,XRAI_0.000000
4133,100,3,2,6,0,20000,1,-83,-37,Mu1-unconst,XRAI_0.000000
5437,100,3,2,7,70,20000,1,-82,-41,Mu1-unconst,XRAI_0.000000
6941,100,3,2,8,0,20000,1,-82,-34,Mu1-unconst,XRAI_0.000000
8645,100,3,2,9,53,20000,1,-79,-42,Mu1-unconst,XRAI_0.000000
10549,100,3,2,10,63,20000,1,-81,-40,Mu1-unconst,XRAI_0.000000
12653,100,3,2,11,2,20000,1,-82,-36,Mu1-unconst,XRAI_0.000000
14957,100,3,2,12,50,20000,1,-80,-40,Mu1-unconst,XRAI_0.000000
17461,100,3,2,13,6,20000,1,-80,-32,Mu1-unconst,XRAI_0.000000
20165,100,3,2,14,13,20000,1,-80,-37,Mu1-unconst,XRAI_0.000000
23069,100,3,2,15,48,20000,1,-84,-38,Mu1-unconst,XRAI_0.000000
26173,100,3,2,16,0,20000,1,-77,-40,Mu1-unconst,XRAI_0.000000
29477,100,3,2,17,69,20000,1,-84,-33,Mu1-unconst,XRAI_0.000000
32981,100,3,2,18,0,20000,1,-80,-38,Mu1-unconst,XRAI_0.000000
36685,100,3,2,19,0,20000,1,-80,-35,Mu1-unconst,XRAI_0.000000
40589,100,3,2,20,4,20000,1,-77,-41,Mu1-unconst,XRAI_0.000000
44693,100,3,2,21,12,20000,1,-77,-36,Mu1-unconst,XRAI_0.000000
48997,100,3,2,22,0,20000,1,-85,-37,Mu1-unconst,XRAI_0.000000
53501,100,3,2,23,22,20000,1,-79,-36,Mu1-unconst,XRAI_0.000000
58205,100,3,2,24,29,20000,1,-79,-33,Mu1-unconst,XRAI_0.000000
63109,100,3,2,25,34,20000,1,-82,-37,Mu1-unconst,XRAI_0.000000
68213,100,3,2,26,0,20000,1,-81,-40,Mu1-unconst,XRAI_0.000000
73517,100,3,2,27,0,20000,1,-82,-36,Mu1-unconst,XRAI_0.000000
79021,100,3,2,28,8,20000,1,-79,-36,Mu1-unconst,XRAI_0.000000
84725,100,3,2,29,0,20000,1,-84,-40,Mu1-unconst,XRAI_0.000000
525,100,5,2,0,1,20000,1,-64,-19,Mu1-unconst,XRAI_0.000000
631,100,5,2,1,63,20000,1,-71,-19,Mu1-unconst,XRAI_0.000000
937,100,5,2,2,0,20000,1,-65,-15,Mu1-unconst,XRAI_0.000000
1443,100,5,2,3,55,20000,1,-69,-12,Mu1-unconst,XRAI_0.000000
2149,100,5,2,4,0,20000,1,-67,-19,Mu1-unconst,XRAI_0.000000
3055,100,5,2,5,0,20000,1,-68,-20,Mu1-unconst,XRAI_0.000000
4161,100,5,2,6,0,20000,1,-66,-18,Mu1-unconst,XRAI_0.000000
5467,100,5,2,7,0,20000,1,-72,-22,Mu1-unconst,XRAI_0.000000
6973,100,5,2,8,96,20000,1,-70,-21,Mu1-unconst,XRAI_0.000000
8679,100,5,2,9,19,20000,1,-71,-17,Mu1-unconst,XRAI_0.000000
10585,100,5,2,10,19,20000,1,-71,-23,Mu1-unconst,XRAI_0.000000
12691,100,5,2,11,7,20000,1,-67,-25,Mu1-unconst,XRAI_0.000000
14997,100,5,2,12,0,20000,1,-64,-16,Mu1-unconst,XRAI_0.000000
17503,100,5,2,13,0,20000,1,-72,-23,Mu1-unconst,XRAI_0.000000
20209,100,5,2,14,0,20000,1,-68,-18,Mu1-unconst,XRAI_0.000000
23115,100,5,2,15,72,20000,1,-68,-20,Mu1-unconst,XRAI_0.000000
26221,100,5,2,16,0,20000,1,-65,-18,Mu1-unconst,XRAI_0.000000
29527,100,5,2,17,0,20000,1,-69,-20,Mu1-unconst,XRAI_0.000000
33033,100,5,2,18,0,20000,1,-61,-17,Mu1-unconst,XRAI_0.000000
36739,100,5,2,19,63,20000,1,-71,-21,Mu1-unconst,XRAI_0.000000
40645,100,5,2,20,0,20000,1,-68,-14,Mu1-unconst,XRAI_0.000000
44751,100,5,2,21,20,20000,1,-68,-16,Mu1-unconst,XRAI_0.000000
49057,100,5,2,22,145,20000,1,-70,-18,Mu1-unconst,XRAI_0.000000
53563,100,5,2,23,29,20000,1,-70,-20,Mu1-unconst,XRAI_0.000000
58269,100,5,2,24,17,20000,1,-65,-15,Mu1-unconst,XRAI_0.000000
63175,100,5,2,25,112,20000,1,-67,-20,Mu1-unconst,XRAI_0.000000
68281,100,5,2,26,22,20000,1,-70,-22,Mu1-unconst,XRAI_0.000000
73587,100,5,2,27,75,20000,1,-66,-14,Mu1-unconst,XRAI_0.000000
79093,100,5,2,28,8,20000,1,-73,-24,Mu1-unconst,XRAI_0.000000
84799,100,5,2,29,0,20000,1,-68,-13,Mu1-unconst,XRAI_0.000000
600,100,10,2,0,193,20000,1,-50,0,Mu1-unconst,XRAI_0.000000
711,100,10,2,1,0,20000,1,-49,-1,Mu1-unconst,XRAI_0.000000
1022,100,10,2,2,16,20000,1,-40,0,Mu1-unconst,XRAI_0.000000
1533,100,10,2,3,142,20000,1,-44,0,Mu1-unconst,XRAI_0.000000
2244,100,10,2,4,51,20000,1,-46,0,Mu1-unconst,XRAI_0.000000
3155,100,10,2,5,0,20000,1,-41,0,Mu1-unconst,XRAI_0.000000
4266,100,10,2,6,0,20000,1,-42,0,Mu1-unconst,XRAI_0.000000
5577,100,10,2,7,4,20000,1,-47,0,Mu1-unconst,XRAI_0.000000
7088,100,10,2,8,0,20000,1,-50,0,Mu1-unconst,XRAI_0.000000
8799,100,10,2,9,29,20000,1,-39,-2,Mu1-unconst,XRAI_0.000000
10710,100,10,2,10,72,20000,1,-50,0,Mu1-unconst,XRAI_0.000000
12821,100,10,2,11,0,20000,1,-42,0,Mu1-unconst,XRAI_0.000000
15132,100,10,2,12,0,20000,1,-47,-1,Mu1-unconst,XRAI_0.000000
17643,100,10,2,13,0,20000,1,-41,0,Mu1-unconst,XRAI_0.000000
20354,100,10,2,14,119,20000,1,-51,0,Mu1-unconst,XRAI_0.000000
23265,100,10,2,15,13,20000,1,-46,0,Mu1-unconst,XRAI_0.000000
26376,100,10,2,16,0,20000,1,-43,0,Mu1-unconst,XRAI_0.000000
29687,100,10,2,17,35,20000,1,-46,0,Mu1-unconst,XRAI_0.000000
33198,100,10,2,18,50,20000,1,-45,0,Mu1-unconst,XRAI_0.000000
36909,100,10,2,19,88,20000,1,-38,0,Mu1-unconst,XRAI_0.000000
40820,100,10,2,20,0,20000,1,-47,0,Mu1-unconst,XRAI_0.000000
44931,100,10,2,21,10,20000,1,-43,-1,Mu1-unconst,XRAI_0.000000
49242,100,10,2,22,0,20000,1,-40,0,Mu1-unconst,XRAI_0.000000
53753,100,10,2,23,47,20000,1,-44,-1,Mu1-unconst,XRAI_0.000000
