seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha,g,r,c
251,50,1,2,0,73,5000,1,-39,-24,NOAH,XRAI_0.000000,1,2,1,1
303,50,1,2,1,63,5000,1,-43,-29,NOAH,XRAI_0.000000,1,2,1,1
455,50,1,2,2,0,5000,1,-44,-26,NOAH,XRAI_0.000000,1,2,1,1
707,50,1,2,3,60,5000,1,-41,-30,NOAH,XRAI_0.000000,1,2,1,1
1059,50,1,2,4,0,5000,1,-43,-28,NOAH,XRAI_0.000000,1,2,1,1
1511,50,1,2,5,0,5000,1,-42,-27,NOAH,XRAI_0.000000,1,2,1,1
2063,50,1,2,6,63,5000,1,-41,-23,NOAH,XRAI_0.000000,1,2,1,1
2715,50,1,2,7,0,5000,1,-42,-26,NOAH,XRAI_0.000000,1,2,1,1
3467,50,1,2,8,0,5000,1,-44,-27,NOAH,XRAI_0.000000,1,2,1,1
4319,50,1,2,9,0,5000,1,-43,-23,NOAH,XRAI_0.000000,1,2,1,1
5271,50,1,2,10,89,5000,1,-42,-24,NOAH,XRAI_0.000000,1,2,1,1
6323,50,1,2,11,80,5000,1,-43,-27,NOAH,XRAI_0.000000,1,2,1,1
7475,50,1,2,12,0,5000,1,-46,-24,NOAH,XRAI_0.000000,1,2,1,1
8727,50,1,2,13,0,5000,1,-42,-24,NOAH,XRAI_0.000000,1,2,1,1
10079,50,1,2,14,74,5000,1,-42,-27,NOAH,XRAI_0.000000,1,2,1,1
11531,50,1,2,15,64,5000,1,-44,-26,NOAH,XRAI_0.000000,1,2,1,1
13083,50,1,2,16,109,5000,1,-43,-25,NOAH,XRAI_0.000000,1,2,1,1
14735,50,1,2,17,0,5000,1,-44,-27,NOAH,XRAI_0.000000,1,2,1,1
16487,50,1,2,18,0,5000,1,-43,-26,NOAH,XRAI_0.000000,1,2,1,1
18339,50,1,2,19,0,5000,1,-43,-25,NOAH,XRAI_0.000000,1,2,1,1
20291,50,1,2,20,103,5000,1,-39,-26,NOAH,XRAI_0.000000,1,2,1,1
22343,50,1,2,21,98,5000,1,-43,-29,NOAH,XRAI_0.000000,1,2,1,1
24495,50,1,2,22,78,5000,1,-41,-25,NOAH,XRAI_0.000000,1,2,1,1
26747,50,1,2,23,0,5000,1,-43,-26,NOAH,XRAI_0.000000,1,2,1,1
29099,50,1,2,24,115,5000,1,-42,-27,NOAH,XRAI_0.000000,1,2,1,1
31551,50,1,2,25,111,5000,1,-41,-25,NOAH,XRAI_0.000000,1,2,1,1
34103,50,1,2,26,79,5000,1,-43,-25,NOAH,XRAI_0.000000,1,2,1,1
36755,50,1,2,27,62,5000,1,-45,-27,NOAH,XRAI_0.000000,1,2,1,1
39507,50,1,2,28,0,5000,1,-43,-28,NOAH,XRAI_0.000000,1,2,1,1
42359,50,1,2,29,69,5000,1,-40,-23,NOAH,XRAI_0.000000,1,2,1,1
259,50,3,2,0,80,5000,1,-29,-7,NOAH,XRAI_0.000000,1,2,1,1
313,50,3,2,1,74,5000,1,-29,-5,NOAH,XRAI_0.000000,1,2,1,1
467,50,3,2,2,0,5000,1,-27,-2,NOAH,XRAI_0.000000,1,2,1,1
721,50,3,2,3,78,5000,1,-30,-7,NOAH,XRAI_0.000000,1,2,1,1
1075,50,3,2,4,81,5000,1,-28,-5,NOAH,XRAI_0.000000,1,2,1,1
1529,50,3,2,5,81,5000,1,-26,-4,NOAH,XRAI_0.000000,1,2,1,1
2083,50,3,2,6,84,5000,1,-33,-10,NOAH,XRAI_0.000000,1,2,1,1
