seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,alpha,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
26,5,1,2,0,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
26,5,1,2,0,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
33,5,1,2,1,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
33,5,1,2,1,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
50,5,1,2,2,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
50,5,1,2,2,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
77,5,1,2,3,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
77,5,1,2,3,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
114,5,1,2,4,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
114,5,1,2,4,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
161,5,1,2,5,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
161,5,1,2,5,0.75,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
218,5,1,2,6,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
218,5,1,2,6,1,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
285,5,1,2,7,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
51,10,1,2,0,0,1,1,Mu1-const,XRAI_2.000000,0.1,1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
51,10,1,2,0,0.666667,1,1,Mu1-const,XRAI_2.000000,0.1,1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
63,10,1,2,1,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
63,10,1,2,1,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
95,10,1,2,2,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
95,10,1,2,2,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
147,10,1,2,3,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
285,5,1,2,7,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
362,5,1,2,8,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
362,5,1,2,8,0.5,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
449,5,1,2,9,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
449,5,1,2,9,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
546,5,1,2,10,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
546,5,1,2,10,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
653,5,1,2,11,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
653,5,1,2,11,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
770,5,1,2,12,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
770,5,1,2,12,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
897,5,1,2,13,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
897,5,1,2,13,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1034,5,1,2,14,0,0,0,Mu1-const,XRAI_2.000000,0.1,0.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
