seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,alpha,rob_test_0,rob_test_1,init
26,5,1,2,0,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
26,5,1,2,0,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
33,5,1,2,1,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
33,5,1,2,1,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
50,5,1,2,2,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
50,5,1,2,2,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
77,5,1,2,3,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
77,5,1,2,3,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
114,5,1,2,4,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
114,5,1,2,4,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
161,5,1,2,5,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
161,5,1,2,5,0.75,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
218,5,1,2,6,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
218,5,1,2,6,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
285,5,1,2,7,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,0.0,True
51,10,1,2,0,0.0,1,1,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,True
51,10,1,2,0,0.666667,1,1,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
63,10,1,2,1,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
63,10,1,2,1,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
95,10,1,2,2,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
95,10,1,2,2,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
147,10,1,2,3,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
285,5,1,2,7,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,0.0,False
362,5,1,2,8,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
362,5,1,2,8,0.5,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
449,5,1,2,9,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
449,5,1,2,9,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
546,5,1,2,10,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
546,5,1,2,10,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
653,5,1,2,11,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
653,5,1,2,11,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
770,5,1,2,12,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
770,5,1,2,12,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
897,5,1,2,13,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
897,5,1,2,13,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1034,5,1,2,14,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
1034,5,1,2,14,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
1181,5,1,2,15,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
1181,5,1,2,15,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
1338,5,1,2,16,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1338,5,1,2,16,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1505,5,1,2,17,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1505,5,1,2,17,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
1682,5,1,2,18,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1682,5,1,2,18,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
1869,5,1,2,19,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1869,5,1,2,19,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2066,5,1,2,20,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
2066,5,1,2,20,0.75,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
2273,5,1,2,21,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2273,5,1,2,21,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2490,5,1,2,22,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2490,5,1,2,22,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2717,5,1,2,23,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2717,5,1,2,23,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2954,5,1,2,24,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
147,10,1,2,3,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
219,10,1,2,4,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
219,10,1,2,4,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
311,10,1,2,5,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
311,10,1,2,5,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
423,10,1,2,6,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
423,10,1,2,6,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
555,10,1,2,7,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
555,10,1,2,7,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
707,10,1,2,8,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
707,10,1,2,8,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
879,10,1,2,9,0.0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
879,10,1,2,9,1.0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,1.0,False
1071,10,1,2,10,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1071,10,1,2,10,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1283,10,1,2,11,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1011,10,1,10,0,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1283,10,1,2,11,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1515,10,1,2,12,0.0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2954,5,1,2,24,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
3201,5,1,2,25,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3201,5,1,2,25,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
3458,5,1,2,26,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,0.0,True
3458,5,1,2,26,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,0.0,False
3725,5,1,2,27,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3725,5,1,2,27,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
4002,5,1,2,28,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4002,5,1,2,28,0.75,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
4289,5,1,2,29,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4289,5,1,2,29,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
126,25,1,2,0,0.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1515,10,1,2,12,0.888889,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1767,10,1,2,13,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1767,10,1,2,13,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,1.0,-1.0,False
2039,10,1,2,14,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2039,10,1,2,14,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2331,10,1,2,15,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
251,50,1,2,0,0.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2331,10,1,2,15,0.888889,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2643,10,1,2,16,0.0,2,2,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2643,10,1,2,16,1.0,2,2,Mu1-const,XRAI_2.000000,0.1,2.0,-1.0,False
2975,10,1,2,17,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2975,10,1,2,17,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
3327,10,1,2,18,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3327,10,1,2,18,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,1.0,False
3699,10,1,2,19,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
3699,10,1,2,19,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
4091,10,1,2,20,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,0.0,True
4091,10,1,2,20,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
4503,10,1,2,21,0.0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4503,10,1,2,21,1.0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
4935,10,1,2,22,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
4935,10,1,2,22,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5387,10,1,2,23,0.0,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5387,10,1,2,23,0.888889,1,1,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
5859,10,1,2,24,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
5859,10,1,2,24,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
6351,10,1,2,25,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
6351,10,1,2,25,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
6863,10,1,2,26,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
6863,10,1,2,26,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
7395,10,1,2,27,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
126,25,1,2,0,0.875,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
153,25,1,2,1,0.0,9,9,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
7395,10,1,2,27,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
7947,10,1,2,28,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
7947,10,1,2,28,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
8519,10,1,2,29,0.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,True
8519,10,1,2,29,1.0,0,0,Mu1-const,XRAI_2.000000,0.1,0.0,-1.0,False
153899,50,1,50,24,0.0,26,26,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
153,25,1,2,1,1.0,9,9,Mu1-const,XRAI_2.000000,0.1,10.0,-1.0,False
230,25,1,2,2,0.0,4,4,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
230,25,1,2,2,1.0,4,4,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
357,25,1,2,3,0.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
357,25,1,2,3,0.958333,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
534,25,1,2,4,0.0,5,5,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
534,25,1,2,4,1.0,5,5,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
761,25,1,2,5,0.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
251,50,1,2,0,1.0,24,24,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
761,25,1,2,5,1.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1038,25,1,2,6,0.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1038,25,1,2,6,1.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1365,25,1,2,7,0.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
303,50,1,2,1,0.0,29,29,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1011,10,1,10,0,0.891386,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1023,10,1,10,1,1.11022e-16,0,0,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1365,25,1,2,7,0.958333,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
1742,25,1,2,8,0.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
1742,25,1,2,8,1.0,7,7,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2169,25,1,2,9,0.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2169,25,1,2,9,1.0,6,6,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
2646,25,1,2,10,0.0,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,True
2646,25,1,2,10,0.958333,8,8,Mu1-const,XRAI_2.000000,0.1,-1.0,-1.0,False
