seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
2954,5,1,2,24,1.0,0,0,Mu1-unconst,NSWAP,2.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
2954,5,1,2,24,1.0,0,0,Mu1-unconst,NSWAP,2.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
3201,5,1,2,25,1.0,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
3201,5,1,2,25,1.0,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
3458,5,1,2,26,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
3458,5,1,2,26,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
3725,5,1,2,27,1.0,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
3725,5,1,2,27,1.0,2,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
4002,5,1,2,28,0.75,1,0,Mu1-unconst,NSWAP,-1.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
4002,5,1,2,28,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
4289,5,1,2,29,0.75,0,0,Mu1-unconst,NSWAP,0.0,0.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
4289,5,1,2,29,1.0,0,0,Mu1-unconst,NSWAP,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
26,5,1,2,0,0.75,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
26,5,1,2,0,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
33,5,1,2,1,0.75,0,0,Mu1-unconst,NSWAP,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
33,5,1,2,1,1.0,0,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
50,5,1,2,2,0.75,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
50,5,1,2,2,1.0,1,0,Mu1-unconst,NSWAP,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
77,5,1,2,3,0.75,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
77,5,1,2,3,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
114,5,1,2,4,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
114,5,1,2,4,1.0,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,False
161,5,1,2,5,0.75,1,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,True
