seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,init
2954,5,1,2,24,1.0,0,0,Mu1-unconst,NSWAP,2.0,1
2954,5,1,2,24,1.0,0,0,Mu1-unconst,NSWAP,2.0,0
3201,5,1,2,25,1.0,1,0,Mu1-unconst,NSWAP,1.0,1
3201,5,1,2,25,1.0,1,0,Mu1-unconst,NSWAP,1.0,0
3458,5,1,2,26,1.0,1,0,Mu1-unconst,NSWAP,-1.0,1
3458,5,1,2,26,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
3725,5,1,2,27,1.0,2,0,Mu1-unconst,NSWAP,-1.0,1
3725,5,1,2,27,1.0,2,0,Mu1-unconst,NSWAP,-1.0,0
4002,5,1,2,28,0.75,1,0,Mu1-unconst,NSWAP,-1.0,1
4002,5,1,2,28,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
4289,5,1,2,29,0.75,0,0,Mu1-unconst,NSWAP,0.0,1
4289,5,1,2,29,1.0,0,0,Mu1-unconst,NSWAP,0.0,0
26,5,1,2,0,0.75,1,0,Mu1-unconst,NSWAP,-1.0,1
26,5,1,2,0,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
33,5,1,2,1,0.75,0,0,Mu1-unconst,NSWAP,0.0,1
33,5,1,2,1,1.0,0,0,Mu1-unconst,NSWAP,-1.0,0
50,5,1,2,2,0.75,1,0,Mu1-unconst,NSWAP,1.0,1
50,5,1,2,2,1.0,1,0,Mu1-unconst,NSWAP,1.0,0
77,5,1,2,3,0.75,1,0,Mu1-unconst,NSWAP,-1.0,1
77,5,1,2,3,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
114,5,1,2,4,1.0,1,0,Mu1-unconst,NSWAP,-1.0,1
114,5,1,2,4,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
161,5,1,2,5,0.75,1,0,Mu1-unconst,NSWAP,-1.0,1
161,5,1,2,5,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
218,5,1,2,6,1.0,0,0,Mu1-unconst,NSWAP,1.0,1
218,5,1,2,6,1.0,0,0,Mu1-unconst,NSWAP,1.0,0
285,5,1,2,7,0.5,1,0,Mu1-unconst,NSWAP,-1.0,1
285,5,1,2,7,1.0,1,0,Mu1-unconst,NSWAP,1.0,0
362,5,1,2,8,0.75,1,0,Mu1-unconst,NSWAP,-1.0,1
362,5,1,2,8,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
449,5,1,2,9,1.0,1,0,Mu1-unconst,NSWAP,-1.0,1
449,5,1,2,9,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
546,5,1,2,10,1.0,1,0,Mu1-unconst,NSWAP,-1.0,1
546,5,1,2,10,1.0,1,0,Mu1-unconst,NSWAP,-1.0,0
653,5,1,2,11,1.0,1,0,Mu1-unconst,NSWAP,2.0,1
653,5,1,2,11,1.0,1,0,Mu1-unconst,NSWAP,2.0,0
770,5,1,2,12,0.75,0,0,Mu1-unconst,NSWAP,1.0,1
